date,record_count,morning_time,afternoon_time,pH_morning,pH_afternoon,delta_pH,DO_pct_morning,DO_pct_afternoon,delta_DO_pct,DO_mgL_morning,DO_mgL_afternoon,delta_DO_mgL,water_temp_morning_C,water_temp_afternoon_C,delta_water_temp_C,EC_morning_uScm,EC_afternoon_uScm,delta_EC_uScm,EC_recent_median_uScm,EC_deviation_uScm,PAR_air_morning,PAR_air_afternoon,PAR_subsurface_morning,PAR_subsurface_afternoon,PAR_bottom_morning,PAR_bottom_afternoon,PAR_bottom_mean,bottom_PAR_ratio_morning,bottom_PAR_ratio_afternoon,bottom_PAR_ratio_mean,depth_cm_mean,depth_A_cm_mean,depth_B_cm_mean,depth_C_cm_mean,depth_D_cm_mean,depth_B_minus_A_cm_mean,depth_C_minus_A_cm_mean,depth_D_minus_B_cm_mean,depth_patch_mean_cm_mean,depth_patch_range_cm_mean,measured_depth_cm_mean,bank_to_water_surface_cm_mean,visual_algae_score,mud_cover_score,bare_stone_score,bed_visibility_score,amedas_precipitation_24h_07_jst_mm,amedas_sunshine_day_h,amedas_global_solar_estimated_day_MJ_m2,amedas_surface_PAR_estimated_day_mol_m2,amedas_bottom_PAR_estimated_day_mol_m2,days_since_rain,recovery_phase,event_type,measurement_confidence,data_status,summary_note
2026-06-23,1,,16:38:00,,8.78,,,93.1,,,8,,,23.7,,,225,,,,,457,,,,89.4,89.4,,0.1956,0.196,,,,,,,,,,,,,,,,0,0,0.35,8.348,19.2,3.763,,unknown,human_input_suspected,usable,missing_morning,この日は朝午後のデータが一部不足しているため参考値です。
2026-06-24,2,07:19:00,17:34:00,7.92,8.76,0.84,85.7,86.7,1,7.6,7.6,0,21.1,23.9,2.8,286,245,-41,225,20,234,182.1,176.233,128.133,120,43.1,81.55,0.5128,0.2367,0.375,,,,,,,,,,,,,1,0,0,1.5,0,2.4,14.247,32.768,12.288,,unknown,none,usable,complete,ECが大きく変化しており、溶存成分を伴うイベント候補です。
2026-06-26,2,07:30:00,16:45:00,8.18,7.79,-0.39,90.1,88.5,-1.6,8.1,7.8,-0.3,21.4,22.1,0.7,176,122,-54,235,-113,111.6,132.467,69.9,87.6,38.6,0.6,19.6,0.3459,0.0045,0.175,64,64,,,,,,,,,,,,,,0,16.75,0,8.501,19.552,3.422,0,rain_0_1d,rain_turbid,usable,complete,濁り・泥・遮光の影響で川底への光が弱かった可能性があります。
2026-06-27,1,08:50:00,,7.99,,,91.6,,,8.1,,,22.4,,,206,,,225,-19,397.833,,299.867,,96.6,,96.6,0.2428,,0.243,90,90,,,,,,,,,60,,,,,0,73.5,0,8.497,19.543,4.749,0,rain_0_1d,rain_turbid,usable,missing_afternoon,この日は朝午後のデータが一部不足しているため参考値です。
2026-06-28,1,,16:50:00,,8,,,86.4,,,7.7,,,22.2,,,245,,215.5,29.5,,87.833,,65.567,,39.233,39.233,,0.4467,0.447,59,59,,,,,,,,,,,,,,2,5.75,0,8.492,19.532,8.731,0,rain_0_1d,none,usable,missing_morning,この日は朝午後のデータが一部不足しているため参考値です。
2026-06-29,2,07:20:00,14:50:00,7.79,7.99,0.2,88.7,89.7,1,7.9,7.8,-0.1,22.2,23.8,1.6,254,263,9,225,38,222.633,347.733,145.767,219.6,105.867,114.767,110.317,0.4755,0.33,0.403,55,55,,,,,,,,,,,1,0,0,1,4.75,0.75,9.557,21.981,8.858,0,rain_0_1d,none,usable,complete,ECが大きく変化しており、溶存成分を伴うイベント候補です。
2026-06-30,2,07:12:00,13:11:00,7.76,7.95,0.19,88.7,88.2,-0.5,7.9,7.5,-0.4,22.7,25.3,2.6,261,266,5,235,31,410.3,901.867,270.2,636.3,199.1,175.067,187.084,0.4853,0.1941,0.34,49.5,49.5,,,,,,,,,,,1,0,0,1.5,0,2,11.441,26.314,8.947,1,rain_0_1d,human_input_suspected,good,complete,ECが大きく変化しており、溶存成分を伴うイベント候補です。
2026-07-01,2,07:08:00,13:04:00,7.56,7.86,0.3,88.1,94.8,6.7,7.8,8.1,0.3,22.2,24.1,1.9,265,269,4,245,24,503.033,633.567,351.967,443.433,246.767,302.867,274.817,0.4906,0.478,0.484,46.5,46.5,,,,,,,,,,,1,0,0,2,0,1.25,10.963,25.215,12.204,2,recovery_2_4d,none,good,complete,ECが大きく変化しており、溶存成分を伴うイベント候補です。
2026-07-03,2,07:11:00,13:10:00,7.66,7.88,0.22,90.7,95.6,4.9,8.1,8.3,0.2,21.1,23.5,2.4,198,206,8,245,-39,321.733,551.733,241.2,379.5,131.467,241.933,186.7,0.4086,0.4385,0.424,59,59,,,,,,,,,,,1,0,0,2,21.25,0.05,8.827,20.302,8.608,0,rain_0_1d,none,usable,complete,ECが大きく変化しており、溶存成分を伴うイベント候補です。
2026-07-04,8,07:07:00,13:07:00,7.7,8.01,0.31,86.9,92.6,5.7,7.9,8,0.1,21,23.9,2.9,274,266,-8,245,21,241.9,622.933,163.433,442.267,131.867,347.633,239.75,0.5451,0.5581,0.552,50,50,,,,,,,,,,,1,0,0,3,0.75,0.25,9.184,21.123,11.66,1,rain_0_1d,none,good,complete,ECが大きく変化しており、溶存成分を伴うイベント候補です。
