date,alk_meq_used,dt_h,depth_m,pCO2_am,pCO2_am_lo,pCO2_am_hi,pCO2_pm,pCO2_pm_lo,pCO2_pm_hi,DIC_am,DIC_pm,dDIC,F_evasion,NEP_C,NEP_O2,NEP_O2_C,NEP_C_areal,F_evas_areal
2026-06-22,1.388,7.7833,0.35,1128.2,910.3,1373.8,349,281.5,425.1,17.1045,16.585,-0.066747,0.017415,0.049332,-0.200445,-0.075167,17.27,6.1
2026-06-23,1.388,9.6333,0.35,2157.2,1740.6,2626.6,141.2,113.8,172,17.5886,16.2325,-0.140771,0.040483,0.100288,-0.060796,-0.022799,35.1,14.17
2026-06-24,1.388,10.25,0.35,1036.6,836.4,1262.2,148.6,119.8,181,17.0762,16.2541,-0.080205,0.00998,0.070225,-0.14335,-0.053756,24.58,3.49
2026-06-26,1.388,9.25,0.64,568.4,458.6,692.2,1420.5,1146.1,1729.6,16.8059,17.2484,0.047838,0.031666,-0.079504,-0.14492,-0.054345,-50.88,20.27
2026-06-29,1.388,7.5,0.55,1422.4,1147.7,1732,914.5,737.9,1113.7,17.2474,16.9724,-0.03666,0.040641,-0.003981,-0.111516,-0.041818,-2.19,22.35
2026-06-30,1.388,5.9833,0.495,1535.4,1238.8,1869.5,1025.1,827.1,1248.3,17.2904,17.0058,-0.047562,0.045695,0.001867,-0.164047,-0.061518,0.92,22.62
2026-07-01,1.388,5.9333,0.465,2421.4,1953.8,2948.3,1242,1002.1,1512.3,17.7088,17.1274,-0.097994,0.077095,0.020899,-0.030991,-0.011622,9.72,35.85
2026-07-03,1.388,5.9833,0.59,1892.8,1527.2,2304.7,1175.7,948.6,1431.7,17.4957,17.106,-0.065129,0.062193,0.002936,-0.033499,-0.012562,1.73,36.69
2026-07-04,1.388,6,0.5,1723.2,1390.4,2098.2,874.2,705.3,1064.6,17.4174,16.9502,-0.077863,0.049174,0.028689,-0.080778,-0.030292,14.34,24.59
2026-07-06,1.388,5.75,0.465,2240.5,1807.8,2728.1,964.3,778,1174.3,17.6444,17.0154,-0.109394,0.066138,0.043256,-0.076533,-0.0287,20.11,30.75
2026-07-07,1.388,6,0.455,2799.6,2258.9,3408.8,1395.6,1126.1,1699.4,17.9239,17.2287,-0.115863,0.095137,0.020726,0.044355,0.016633,9.43,43.29
2026-07-08,1.388,6.05,0.44,2644.8,2134,3220.3,570.1,459.9,694.2,17.8201,16.7629,-0.174748,0.065986,0.108763,0.126969,0.047613,47.86,29.03
2026-07-09,1.388,5.95,0.435,2602.4,2099.8,3168.7,180.3,145.3,219.7,17.784,16.2767,-0.253332,0.054295,0.199037,0.263914,0.098968,86.58,23.62
2026-07-10,1.388,5.8667,0.43,1567,1264.3,1908,145.6,117.3,177.4,17.3094,16.1557,-0.196644,0.02468,0.171964,0.425076,0.159403,73.94,10.61
2026-07-11,1.388,5.6167,0.44,1253.4,1011.3,1526.2,137.7,111,167.8,17.15,16.1359,-0.180551,0.015335,0.165216,0.518867,0.194575,72.69,6.75
2026-07-12,1.388,6.65,0.415,2284.6,1843.4,2781.8,182.4,147.1,222.3,17.6232,16.334,-0.19387,0.044206,0.149665,0.51352,0.19257,62.11,18.35
2026-07-14,1.388,5.95,0.42,2091.6,1687.6,2546.8,109.4,88.1,133.4,17.529,15.9562,-0.264337,0.037481,0.226855,0.658123,0.246796,95.28,15.74
2026-07-15,1.388,6.1167,0.42,2604.5,2101.5,3171.3,102.4,82.4,124.9,17.7302,15.8879,-0.30118,0.050046,0.251134,0.699123,0.262171,105.48,21.02
2026-07-16,1.388,5.9,0.42,1817.2,1466.2,2212.7,140.5,113.2,171.2,17.3721,16.111,-0.213756,0.029288,0.184468,0.622063,0.233274,77.48,12.3
2026-07-18,1.388,5.85,0.44,4217.6,3403.2,5135.4,812.1,655.2,989,18.4263,16.8783,-0.264607,0.11029,0.154317,0.351121,0.13167,67.9,48.53
2026-07-21,1.388,5.6667,0.4,4829.2,3896.7,5880.1,351.3,283.3,427.9,18.6089,16.5359,-0.365831,0.110921,0.254911,0.237181,0.088943,101.96,44.37
2026-07-22,1.388,6.0333,0.39,4021,3244.5,4896,212.4,171.2,258.8,18.2738,16.2954,-0.327919,0.086856,0.241062,0.566034,0.212263,94.01,33.87
2026-07-23,1.388,5.8167,0.385,3386.8,2732.8,4123.9,171.6,138.3,209.2,17.9805,16.1758,-0.310265,0.06795,0.242314,0.616655,0.231246,93.29,26.16
2026-07-24,1.388,5.8333,0.39,3828.5,3089.2,4661.7,245.7,198.1,299.4,18.2036,16.3917,-0.310613,0.083054,0.227559,0.699895,0.262461,88.75,32.39
2026-07-25,1.388,6.1167,0.385,4429,3573.8,5392.8,278.2,224.3,339,18.4259,16.4116,-0.32932,0.097919,0.231401,0.683502,0.256313,89.09,37.7
