date,daylen,F_night_mgC_m2_h,F_day_mgC_m2_h,day_is_sink,E24_mgC_m2_day,NEP24_mgC_m2_day
2026-06-22,14.41,13.64,-1.46,True,109.75,-596.39
2026-06-23,14.41,33.74,-5.41,True,245.46,-339.46
2026-06-24,14.41,12.22,-5.25,True,41.61,-491.32
2026-06-26,14.4,5.06,35.48,False,559.59,-2280.03
2026-06-29,14.39,30.47,14.23,False,497.61,-1363.18
2026-06-30,14.38,30.12,15.11,False,506.97,-1186.06
2026-07-01,14.37,51.68,20,False,784.99,-987.87
2026-07-03,14.36,49.68,23.69,False,819.24,-1408.41
2026-07-04,14.35,37.33,11.83,False,530.07,-1010.1
2026-07-06,14.32,47.79,13.71,False,658.81,-845.27
2026-07-07,14.31,62.25,24.32,False,951.08,-975.47
2026-07-08,14.3,54.85,3.19,False,577.63,-390.97
2026-07-09,14.29,52.45,-5.25,True,434.5,172.29
2026-07-10,14.27,27.06,-5.85,True,179.79,1.35
2026-07-11,14.26,19.72,-6.24,True,103.3,-43.8
2026-07-12,14.24,42.02,-5.34,True,334.04,-135.98
2026-07-14,14.21,37.79,-6.3,True,280.54,317.17
2026-07-15,14.19,48.38,-6.32,True,385.11,458.19
2026-07-16,14.17,30.28,-5.66,True,217.53,57.5
2026-07-18,14.13,88.77,8.26,False,992.93,-134.8
2026-07-21,14.06,90.25,-1.46,True,876.07,432.95
2026-07-22,14.04,71.63,-3.77,True,660.39,341.82
2026-07-23,14.02,56.84,-4.37,True,506.11,339.78
2026-07-24,14,68.16,-3.34,True,635.22,259.07
2026-07-25,13.97,78.12,-2.56,True,747.65,271.91
2026-07-27,13.92,133.61,14.88,False,1553.85,165.3
2026-07-28,13.89,71.31,26.05,False,1082.5,-757.88
2026-07-29,13.87,79.13,9.25,False,930.07,-167.38
2026-07-30,13.84,71.19,3.09,False,766.09,-59.52
2026-07-31,13.81,57.91,-0.65,True,580.99,-64.15
2026-08-03,13.73,102.28,56.7,False,1829.05,-1225.74
2026-08-04,13.7,34.49,1.76,False,379.36,-466.74
2026-08-05,13.67,64.85,1.3,False,687.72,-124.7
2026-08-06,13.64,52.95,-3.05,True,507,173.09
2026-08-07,13.61,53.29,-3.94,True,500.2,216.41
2026-08-09,13.55,64.16,-4.14,True,614.72,271.51
2026-08-10,13.51,102.56,27.17,False,1442.56,-643.13
2026-08-11,13.48,61.03,8.45,False,755.94,-519.63
