k,R,ssq,rms
0.05,0.260899,0.19783081,0.140652
0.1,0.534979,0.06827115,0.082626
0.135,0.597672,0.06311495,0.079445
0.15,0.624571,0.0610005,0.078103
0.2,0.67987,0.04580053,0.067676
0.25,0.787251,0.04263953,0.065299
0.3,0.867841,0.03793124,0.061588
0.35,0.966542,0.0343323,0.058594
0.4,1.060742,0.0310967,0.055764
0.45,1.111004,0.04633903,0.068073
0.5,1.203811,0.04588587,0.067739
0.55,1.351487,0.02368261,0.048665
0.6,1.458333,0.02497356,0.049974
0.65,1.53335,0.01927477,0.043903
0.7,1.628301,0.01774791,0.042128
0.75,1.723037,0.01648755,0.040605
0.8,1.817773,0.01548546,0.039352
0.85,1.912723,0.01473446,0.038385
0.9,2.004244,0.01432896,0.037854
0.95,2.10198,0.01394612,0.037345
1,2.196716,0.01389216,0.037272
1.05,2.291452,0.01405204,0.037486
1.1,2.386295,0.01441608,0.037969
1.15,2.481031,0.01497415,0.038696
1.2,2.575767,0.01571658,0.039644
1.25,2.67061,0.01663339,0.040784
1.3,2.765346,0.01771474,0.042089
1.35,2.860082,0.01895091,0.043533
1.4,2.954925,0.02033234,0.045091
1.45,3.049661,0.02184967,0.046744
1.5,3.144504,0.02349378,0.04847
1.55,3.23924,0.02525578,0.050255
1.6,3.334084,0.02712707,0.052084
1.65,3.428819,0.02909936,0.053944
1.7,3.523663,0.03116463,0.055825
1.75,3.618398,0.03331522,0.057719
1.8,3.713242,0.03554374,0.059619
1.85,3.807978,0.03784318,0.061517
1.9,3.902821,0.04020681,0.063409
1.95,3.997664,0.04262824,0.06529
2,4.0924,0.04510141,0.067158
